InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,TotalPrice
10102,P0045,Producto 14,4,2021-01-28,69.77,1082,El Salvador,279.08
10435,P0005,Producto 13,3,2021-03-11,22.65,1009,Honduras,67.94999999999999
10860,P0033,Producto 29,7,2021-06-21,59.94,1091,Guatemala,419.58
10270,P0001,Producto 12,3,2021-05-29,27.2,1028,Honduras,81.6
10106,P0018,Producto 39,3,2021-01-28,66.53,1078,Honduras,199.59
10071,P0032,Producto 2,5,2021-02-23,81.68,1034,El Salvador,408.40000000000003
10700,P0047,Producto 32,5,2021-03-06,78.02,1005,Honduras,390.09999999999997
10020,P0049,Producto 13,6,2021-04-10,76.32,1011,Guatemala,457.91999999999996
10614,P0011,Producto 46,8,2021-01-21,19.58,1037,Honduras,156.64
10121,P0021,Producto 27,6,2021-01-13,9.75,1076,Guatemala,58.5
10466,P0026,Producto 49,1,2021-02-26,70.2,1092,Honduras,70.2
10214,P0025,Producto 41,8,2021-02-18,37.47,1018,Guatemala,299.76
10330,P0022,Producto 17,8,2021-04-28,43.8,1066,Honduras,350.4
10458,P0027,Producto 40,9,2021-02-23,4.08,1007,Honduras,36.72
10087,P0049,Producto 31,9,2021-05-18,26.7,1007,Costa Rica,240.29999999999998
10372,P0013,Producto 34,2,2021-02-22,4.33,1083,Guatemala,8.66
10099,P0033,Producto 24,2,2021-02-13,88.04,1046,Guatemala,176.08
10871,P0034,Producto 45,3,2021-02-16,25.1,1003,Guatemala,75.30000000000001
10663,P0041,Producto 35,1,2021-02-22,56.18,1050,Nicaragua,56.18
10130,P0035,Producto 48,4,2021-03-15,4.86,1084,Honduras,19.44
10661,P0001,Producto 6,4,2021-02-15,67.02,1066,Guatemala,268.08
10308,P0021,Producto 19,9,2021-01-13,32.98,1044,Nicaragua,296.82
10769,P0048,Producto 30,9,2021-06-14,89.89,1007,Costa Rica,809.01
10343,P0006,Producto 7,9,2021-04-12,88.92,1086,Guatemala,800.28
10491,P0028,Producto 10,7,2021-01-24,33.2,1015,Guatemala,232.40000000000003
10413,P0017,Producto 41,2,2021-01-02,90.2,1076,Nicaragua,180.4
10805,P0005,Producto 32,5,2021-03-22,99.62,1066,Honduras,498.1
10385,P0031,Producto 34,4,2021-04-10,82.72,1008,Costa Rica,330.88
10191,P0005,Producto 28,8,2021-05-22,84.64,1059,Guatemala,677.12
10955,P0038,Producto 15,2,2021-05-18,25.65,1077,Honduras,51.3
10276,P0003,Producto 30,6,2021-06-12,58.09,1076,Costa Rica,348.54
10160,P0023,Producto 37,5,2021-06-02,7.66,1070,El Salvador,38.3
10459,P0037,Producto 29,2,2021-05-11,10.4,1014,El Salvador,20.8
10313,P0037,Producto 22,1,2021-04-21,99.89,1070,Costa Rica,99.89
10021,P0010,Producto 4,8,2021-04-12,33.34,1097,Nicaragua,266.72
10252,P0010,Producto 20,2,2021-01-17,75.07,1040,Costa Rica,150.14
10747,P0019,Producto 32,7,2021-01-12,80.86,1021,Costa Rica,566.02
10856,P0017,Producto 36,9,2021-04-26,85.94,1023,Nicaragua,773.46
10560,P0021,Producto 4,9,2021-01-24,99.77,1043,Nicaragua,897.93
10474,P0014,Producto 27,8,2021-01-29,24.91,1000,Honduras,199.28
10058,P0009,Producto 17,9,2021-06-20,4.99,1009,Honduras,44.910000000000004
10510,P0046,Producto 12,2,2021-06-02,41.71,1079,Nicaragua,83.42
10681,P0001,Producto 22,6,2021-05-02,13.88,1071,El Salvador,83.28
10475,P0045,Producto 17,4,2021-03-31,3.22,1055,El Salvador,12.88
10699,P0013,Producto 10,4,2021-03-06,36.68,1088,Costa Rica,146.72
10975,P0004,Producto 1,5,2021-03-25,78.59,1049,Guatemala,392.95000000000005
10782,P0001,Producto 22,3,2021-04-29,57.05,1011,Costa Rica,171.14999999999998
10189,P0049,Producto 26,1,2021-06-05,31.97,1088,Costa Rica,31.97
10957,P0040,Producto 18,8,2021-01-16,65.78,1080,Guatemala,526.24
10686,P0032,Producto 14,5,2021-06-24,23.97,1059,Nicaragua,119.85
10957,P0034,Producto 47,3,2021-04-14,2.42,1025,El Salvador,7.26
10562,P0028,Producto 29,7,2021-04-02,76.67,1077,Costa Rica,536.69
10875,P0031,Producto 12,7,2021-01-27,62.75,1040,Guatemala,439.25
10566,P0008,Producto 36,1,2021-06-19,76.47,1035,Honduras,76.47
10243,P0039,Producto 35,9,2021-06-24,4.85,1022,Costa Rica,43.65
10831,P0026,Producto 12,2,2021-06-11,83.87,1042,El Salvador,167.74
10504,P0034,Producto 7,5,2021-06-14,62.33,1005,Nicaragua,311.65
10130,P0003,Producto 29,5,2021-05-14,56.78,1068,Costa Rica,283.9
10484,P0012,Producto 11,8,2021-05-15,62.84,1042,Costa Rica,502.72
10818,P0001,Producto 33,8,2021-06-02,86.58,1024,Guatemala,692.64
10646,P0044,Producto 6,7,2021-02-02,59.11,1017,Honduras,413.77
10020,P0005,Producto 47,7,2021-02-24,58.51,1061,Honduras,409.57
10840,P0030,Producto 15,6,2021-01-07,99.08,1012,Nicaragua,594.48
10166,P0030,Producto 32,6,2021-02-26,75.92,1042,El Salvador,455.52
10273,P0017,Producto 11,9,2021-05-06,44.79,1077,Nicaragua,403.11
10387,P0048,Producto 23,6,2021-01-12,71.03,1027,Costa Rica,426.18
10600,P0047,Producto 26,2,2021-01-16,39.53,1017,Costa Rica,79.06
10315,P0023,Producto 34,2,2021-02-12,23.66,1058,Honduras,47.32
10013,P0015,Producto 46,5,2021-04-27,60.09,1059,El Salvador,300.45000000000005
10241,P0037,Producto 34,4,2021-05-15,92.89,1062,Guatemala,371.56
10776,P0021,Producto 29,2,2021-04-21,92.98,1056,El Salvador,185.96
10345,P0014,Producto 4,3,2021-02-20,34.85,1091,Costa Rica,104.55000000000001
10564,P0002,Producto 17,7,2021-06-09,53.24,1050,Guatemala,372.68
10897,P0011,Producto 35,8,2021-03-16,21.95,1055,El Salvador,175.6
10339,P0039,Producto 13,6,2021-01-08,99.57,1026,El Salvador,597.42
10091,P0038,Producto 41,5,2021-02-14,98.13,1031,Guatemala,490.65
10366,P0034,Producto 39,1,2021-02-28,65.3,1008,Costa Rica,65.3
10955,P0038,Producto 15,8,2021-05-12,80.64,1095,El Salvador,645.12
10454,P0034,Producto 29,3,2021-04-14,71.79,1083,Guatemala,215.37
10427,P0018,Producto 29,6,2021-06-06,59.72,1091,Costa Rica,358.32
10508,P0030,Producto 11,3,2021-06-06,6.28,1096,Guatemala,18.84
10775,P0015,Producto 32,7,2021-04-08,46.02,1067,Guatemala,322.14000000000004
10942,P0027,Producto 2,7,2021-06-05,67.8,1045,El Salvador,474.59999999999997
10034,P0034,Producto 47,9,2021-03-20,68.08,1097,Costa Rica,612.72
10205,P0038,Producto 14,5,2021-05-04,37.94,1066,El Salvador,189.7
10080,P0033,Producto 20,8,2021-06-21,94.23,1025,Nicaragua,753.84
10931,P0024,Producto 22,8,2021-01-04,17.57,1007,Nicaragua,140.56
10561,P0015,Producto 11,1,2021-03-31,50.54,1005,Costa Rica,50.54
10871,P0030,Producto 27,5,2021-04-14,69.4,1079,Guatemala,347.0
10387,P0042,Producto 3,3,2021-05-17,70.02,1023,El Salvador,210.06
10001,P0017,Producto 17,1,2021-04-29,65.22,1047,El Salvador,65.22
10389,P0005,Producto 44,4,2021-05-13,28.25,1093,Costa Rica,113.0
10565,P0029,Producto 28,8,2021-02-25,16.46,1044,Costa Rica,131.68
10105,P0004,Producto 29,3,2021-04-06,63.96,1012,Nicaragua,191.88
10771,P0010,Producto 21,2,2021-06-27,60.33,1068,Honduras,120.66
10821,P0017,Producto 47,9,2021-03-16,18.76,1024,Costa Rica,168.84
10476,P0010,Producto 16,5,2021-05-23,70.81,1019,Honduras,354.05
10702,P0017,Producto 37,7,2021-02-01,46.06,1081,Costa Rica,322.42
10401,P0020,Producto 20,2,2021-01-28,67.11,1081,Guatemala,134.22
10729,P0024,Producto 6,9,2021-01-22,83.9,1065,Guatemala,755.1
10555,P0005,Producto 19,9,2021-01-17,17.8,1073,Nicaragua,160.20000000000002
10161,P0034,Producto 5,4,2021-02-28,2.9,1044,Nicaragua,11.6
10201,P0006,Producto 3,4,2021-03-31,78.13,1046,Honduras,312.52
10957,P0002,Producto 1,6,2021-04-16,61.36,1062,Costa Rica,368.15999999999997
10995,P0013,Producto 38,6,2021-01-26,70.26,1075,El Salvador,421.56000000000006
10269,P0043,Producto 15,1,2021-01-25,83.98,1076,Nicaragua,83.98
10862,P0043,Producto 34,9,2021-05-18,80.48,1054,El Salvador,724.32
10815,P0048,Producto 35,2,2021-02-14,96.13,1074,El Salvador,192.26
10270,P0011,Producto 49,5,2021-03-24,54.06,1018,Costa Rica,270.3
10455,P0047,Producto 25,9,2021-01-11,49.36,1034,Honduras,444.24
10461,P0023,Producto 24,4,2021-04-14,40.79,1052,Costa Rica,163.16
10726,P0016,Producto 12,3,2021-03-09,16.22,1025,Nicaragua,48.66
10251,P0031,Producto 18,7,2021-04-05,57.69,1013,El Salvador,403.83
10701,P0011,Producto 15,6,2021-06-05,28.42,1044,Costa Rica,170.52
10295,P0016,Producto 44,8,2021-03-06,92.21,1043,Costa Rica,737.68
10724,P0008,Producto 16,3,2021-02-18,58.74,1087,Costa Rica,176.22
10719,P0004,Producto 27,5,2021-06-24,59.69,1064,Nicaragua,298.45
10748,P0040,Producto 8,4,2021-02-21,36.14,1050,Honduras,144.56
10337,P0004,Producto 46,4,2021-04-12,6.15,1042,Costa Rica,24.6
10878,P0025,Producto 25,4,2021-02-26,4.14,1085,Nicaragua,16.56
10052,P0003,Producto 17,8,2021-02-16,42.91,1022,El Salvador,343.28
10791,P0032,Producto 29,6,2021-06-08,9.37,1055,Guatemala,56.22
10921,P0003,Producto 8,3,2021-06-23,61.08,1018,Nicaragua,183.24
10216,P0027,Producto 15,5,2021-01-26,88.22,1081,Guatemala,441.1
10763,P0029,Producto 27,6,2021-04-24,88.41,1075,Costa Rica,530.46
10187,P0032,Producto 46,5,2021-01-05,66.25,1054,Costa Rica,331.25
10379,P0019,Producto 7,6,2021-03-25,21.91,1091,Nicaragua,131.46
10492,P0021,Producto 3,8,2021-02-21,86.44,1091,Guatemala,691.52
10040,P0005,Producto 29,7,2021-04-15,88.72,1059,Costa Rica,621.04
10156,P0018,Producto 44,5,2021-02-23,20.47,1058,El Salvador,102.35
10014,P0028,Producto 24,6,2021-06-10,74.01,1032,Honduras,444.06000000000006
10812,P0042,Producto 3,4,2021-06-27,29.37,1018,Honduras,117.48
10064,P0022,Producto 20,9,2021-06-15,80.46,1027,Costa Rica,724.14
10856,P0021,Producto 46,4,2021-06-04,99.73,1051,Guatemala,398.92
10838,P0006,Producto 15,1,2021-01-15,3.97,1048,Costa Rica,3.97
10520,P0001,Producto 25,7,2021-03-02,89.84,1036,Guatemala,628.88
10343,P0005,Producto 30,7,2021-05-02,62.64,1025,El Salvador,438.48
10128,P0041,Producto 14,4,2021-01-21,97.36,1098,Guatemala,389.44
10647,P0012,Producto 7,3,2021-02-15,47.04,1097,Costa Rica,141.12
10471,P0026,Producto 17,8,2021-05-14,84.89,1098,El Salvador,679.12
10062,P0046,Producto 44,5,2021-02-07,7.18,1039,Nicaragua,35.9
10138,P0034,Producto 20,7,2021-03-03,34.19,1079,Honduras,239.32999999999998
10498,P0049,Producto 36,4,2021-03-27,7.63,1037,Costa Rica,30.52
10592,P0014,Producto 9,4,2021-03-19,97.56,1076,Costa Rica,390.24
10391,P0026,Producto 38,8,2021-02-15,81.88,1086,Costa Rica,655.04
10674,P0045,Producto 48,8,2021-05-21,85.4,1053,El Salvador,683.2
10418,P0027,Producto 22,2,2021-01-03,93.86,1021,Nicaragua,187.72
10288,P0009,Producto 2,2,2021-01-06,9.43,1015,Guatemala,18.86
10378,P0026,Producto 24,3,2021-04-03,39.17,1027,Nicaragua,117.51
10772,P0047,Producto 8,3,2021-01-08,8.03,1034,El Salvador,24.089999999999996
10489,P0022,Producto 11,1,2021-06-21,21.87,1059,Costa Rica,21.87
10230,P0047,Producto 13,3,2021-04-18,23.71,1044,Honduras,71.13
10040,P0030,Producto 17,6,2021-06-10,47.44,1045,Costa Rica,284.64
10027,P0043,Producto 8,8,2021-03-16,27.59,1071,Guatemala,220.72
10134,P0048,Producto 21,6,2021-03-18,11.0,1054,Honduras,66.0
10200,P0017,Producto 18,5,2021-02-19,17.58,1085,Costa Rica,87.89999999999999
10839,P0026,Producto 30,4,2021-01-11,15.58,1084,Honduras,62.32
10779,P0036,Producto 18,3,2021-04-05,97.33,1025,Nicaragua,291.99
10929,P0001,Producto 46,4,2021-06-05,76.17,1084,El Salvador,304.68
10032,P0008,Producto 47,7,2021-03-11,96.81,1024,Costa Rica,677.6700000000001
10047,P0049,Producto 31,1,2021-06-18,44.53,1064,Guatemala,44.53
10502,P0035,Producto 38,7,2021-01-16,28.56,1005,Nicaragua,199.92
10406,P0015,Producto 32,1,2021-03-09,80.03,1022,Costa Rica,80.03
10573,P0047,Producto 11,2,2021-04-09,33.3,1063,Nicaragua,66.6
10727,P0022,Producto 45,4,2021-02-17,30.64,1086,Guatemala,122.56
10804,P0014,Producto 25,1,2021-03-05,24.02,1042,Costa Rica,24.02
10098,P0026,Producto 33,9,2021-03-31,13.84,1022,Guatemala,124.56
10683,P0028,Producto 38,6,2021-03-17,26.39,1095,Honduras,158.34
10871,P0023,Producto 41,1,2021-05-19,36.18,1029,Guatemala,36.18
10725,P0014,Producto 8,1,2021-04-11,67.73,1076,Honduras,67.73
10986,P0024,Producto 11,6,2021-03-30,7.19,1017,Costa Rica,43.14
10546,P0002,Producto 22,4,2021-01-18,21.84,1086,Honduras,87.36
10960,P0045,Producto 24,4,2021-01-19,81.09,1078,Costa Rica,324.36
10738,P0026,Producto 41,6,2021-02-24,15.55,1096,Costa Rica,93.30000000000001
10612,P0014,Producto 17,7,2021-04-12,34.92,1020,El Salvador,244.44
10942,P0007,Producto 12,9,2021-04-28,86.6,1056,Costa Rica,779.4
10461,P0003,Producto 46,5,2021-06-03,16.34,1022,Honduras,81.7
10642,P0047,Producto 32,9,2021-05-14,9.19,1090,El Salvador,82.71
10768,P0023,Producto 15,4,2021-01-04,48.97,1044,El Salvador,195.88
10004,P0046,Producto 16,2,2021-04-18,30.94,1043,Costa Rica,61.88
10217,P0043,Producto 22,3,2021-04-25,56.78,1081,Guatemala,170.34
10502,P0047,Producto 28,1,2021-01-29,80.58,1087,Guatemala,80.58
10766,P0045,Producto 20,6,2021-02-28,14.58,1046,El Salvador,87.48
10397,P0018,Producto 33,6,2021-05-05,58.49,1039,Costa Rica,350.94
10870,P0038,Producto 10,1,2021-04-08,51.05,1050,Guatemala,51.05
10794,P0035,Producto 40,3,2021-01-17,15.26,1041,Costa Rica,45.78
10392,P0015,Producto 32,5,2021-04-17,62.78,1006,Costa Rica,313.9
10206,P0025,Producto 33,3,2021-02-12,28.09,1049,El Salvador,84.27
10014,P0037,Producto 2,3,2021-03-21,49.3,1047,El Salvador,147.89999999999998
10857,P0028,Producto 33,3,2021-06-11,9.14,1083,Nicaragua,27.42
10553,P0010,Producto 33,5,2021-01-08,46.5,1090,Guatemala,232.5
10891,P0039,Producto 41,5,2021-05-21,31.34,1005,Guatemala,156.7
10460,P0017,Producto 13,4,2021-04-16,82.42,1090,Guatemala,329.68
10690,P0039,Producto 30,1,2021-01-08,6.64,1008,Honduras,6.64
10574,P0022,Producto 33,5,2021-04-06,42.44,1056,Costa Rica,212.2
10863,P0026,Producto 13,5,2021-04-04,46.38,1030,El Salvador,231.9
10742,P0044,Producto 26,4,2021-03-06,72.78,1020,Guatemala,291.12
10240,P0025,Producto 22,6,2021-06-20,57.85,1089,Nicaragua,347.1
10563,P0017,Producto 39,4,2021-02-08,67.05,1039,Guatemala,268.2
10095,P0013,Producto 2,7,2021-03-22,77.93,1044,Costa Rica,545.51
10899,P0020,Producto 38,7,2021-03-25,86.36,1076,Costa Rica,604.52
10733,P0025,Producto 39,2,2021-03-29,32.07,1048,El Salvador,64.14
10484,P0004,Producto 26,3,2021-03-27,54.26,1086,Honduras,162.78
10406,P0010,Producto 46,1,2021-04-03,84.17,1019,El Salvador,84.17
10230,P0003,Producto 15,8,2021-03-27,98.96,1091,Guatemala,791.68
10748,P0041,Producto 34,9,2021-02-13,89.06,1016,Nicaragua,801.54
10654,P0045,Producto 42,4,2021-05-17,37.78,1027,El Salvador,151.12
10170,P0018,Producto 44,6,2021-06-14,20.32,1040,Honduras,121.92
10540,P0047,Producto 49,9,2021-03-15,49.45,1065,El Salvador,445.05
10035,P0036,Producto 40,6,2021-02-05,74.42,1024,Costa Rica,446.52
10524,P0047,Producto 11,9,2021-04-11,49.76,1057,Guatemala,447.84
10159,P0022,Producto 3,4,2021-06-05,48.83,1040,Guatemala,195.32
10838,P0034,Producto 6,8,2021-06-19,83.98,1005,Guatemala,671.84
10698,P0047,Producto 9,9,2021-06-20,36.78,1074,Guatemala,331.02
10242,P0008,Producto 6,4,2021-06-19,86.12,1037,Guatemala,344.48
10085,P0040,Producto 9,5,2021-04-14,41.27,1005,Guatemala,206.35000000000002
10795,P0049,Producto 39,8,2021-03-07,33.5,1044,Nicaragua,268.0
10577,P0044,Producto 31,6,2021-02-24,45.95,1074,Honduras,275.70000000000005
10681,P0019,Producto 32,7,2021-06-25,76.48,1013,Guatemala,535.36
10556,P0042,Producto 41,3,2021-04-01,13.47,1065,Honduras,40.410000000000004
10573,P0041,Producto 12,7,2021-01-22,20.45,1039,Guatemala,143.15
10952,P0037,Producto 8,8,2021-04-11,95.19,1002,El Salvador,761.52
10645,P0006,Producto 8,6,2021-06-04,18.37,1098,Guatemala,110.22
10795,P0026,Producto 28,9,2021-05-01,57.21,1096,Costa Rica,514.89
10027,P0034,Producto 20,6,2021-04-03,58.35,1023,Nicaragua,350.1
10619,P0045,Producto 47,9,2021-04-18,49.47,1018,El Salvador,445.23
10555,P0006,Producto 7,4,2021-05-21,64.83,1017,El Salvador,259.32
10339,P0037,Producto 11,8,2021-06-22,23.75,1063,Costa Rica,190.0
10797,P0033,Producto 20,4,2021-01-10,55.71,1087,Guatemala,222.84
10957,P0022,Producto 16,2,2021-01-09,37.85,1034,Nicaragua,75.7
10330,P0021,Producto 4,9,2021-06-04,66.51,1061,El Salvador,598.59
10639,P0006,Producto 6,5,2021-02-03,14.98,1000,Nicaragua,74.9
10505,P0006,Producto 22,4,2021-05-09,57.52,1099,El Salvador,230.08
10347,P0048,Producto 26,2,2021-06-09,19.34,1024,Guatemala,38.68
10472,P0004,Producto 3,1,2021-03-30,28.59,1044,El Salvador,28.59
10230,P0030,Producto 41,7,2021-04-03,22.65,1048,El Salvador,158.54999999999998
10189,P0011,Producto 42,6,2021-03-12,19.1,1097,Honduras,114.60000000000001
10224,P0030,Producto 14,2,2021-03-08,82.75,1088,Guatemala,165.5
10384,P0031,Producto 11,8,2021-05-28,29.29,1015,Costa Rica,234.32
10376,P0024,Producto 18,4,2021-04-27,92.79,1097,Costa Rica,371.16
10282,P0009,Producto 12,8,2021-04-04,97.02,1092,Guatemala,776.16
10957,P0003,Producto 23,7,2021-06-12,57.55,1018,Costa Rica,402.84999999999997
10632,P0031,Producto 12,5,2021-04-09,15.16,1022,Guatemala,75.8
10627,P0040,Producto 13,8,2021-04-23,38.08,1082,Costa Rica,304.64
10972,P0037,Producto 25,9,2021-04-13,79.98,1024,Honduras,719.82
10744,P0036,Producto 45,5,2021-04-01,37.37,1015,Costa Rica,186.85
10258,P0024,Producto 19,5,2021-03-31,9.61,1053,El Salvador,48.05
10358,P0031,Producto 46,2,2021-01-17,56.12,1072,Guatemala,112.24
10709,P0006,Producto 36,5,2021-01-18,84.67,1000,Nicaragua,423.35
10455,P0002,Producto 45,3,2021-06-22,79.8,1041,Nicaragua,239.39999999999998
10410,P0020,Producto 8,7,2021-04-26,18.34,1018,Guatemala,128.38
10648,P0028,Producto 29,5,2021-04-03,67.6,1096,Honduras,338.0
10317,P0011,Producto 32,8,2021-04-01,22.83,1033,Costa Rica,182.64
10676,P0004,Producto 44,1,2021-03-23,22.6,1079,Honduras,22.6
10224,P0015,Producto 18,3,2021-03-09,87.53,1054,Nicaragua,262.59000000000003
10818,P0006,Producto 6,3,2021-04-24,25.72,1017,Guatemala,77.16
10233,P0049,Producto 18,9,2021-01-01,27.06,1033,Guatemala,243.54
10683,P0030,Producto 19,5,2021-02-27,1.06,1088,Honduras,5.300000000000001
10663,P0038,Producto 22,9,2021-06-03,87.2,1044,Honduras,784.8000000000001
10974,P0002,Producto 37,9,2021-04-19,79.47,1005,Costa Rica,715.23
10826,P0015,Producto 32,1,2021-05-28,63.11,1020,El Salvador,63.11
10373,P0011,Producto 41,2,2021-04-26,75.28,1069,El Salvador,150.56
10671,P0008,Producto 3,5,2021-03-28,16.05,1095,Costa Rica,80.25
10607,P0026,Producto 28,4,2021-01-10,46.37,1047,El Salvador,185.48
10471,P0045,Producto 10,9,2021-02-28,35.77,1038,Nicaragua,321.93
10232,P0044,Producto 35,7,2021-02-10,10.28,1030,El Salvador,71.96
10691,P0005,Producto 29,6,2021-04-15,49.13,1009,Costa Rica,294.78000000000003
10112,P0006,Producto 15,7,2021-05-13,92.15,1029,El Salvador,645.0500000000001
10829,P0026,Producto 33,1,2021-05-02,4.97,1017,Guatemala,4.97
10496,P0004,Producto 7,1,2021-05-25,29.85,1059,Honduras,29.85
10441,P0019,Producto 12,8,2021-01-22,21.55,1087,Nicaragua,172.4
10563,P0020,Producto 49,2,2021-04-08,24.58,1072,Guatemala,49.16
10267,P0033,Producto 30,9,2021-06-18,90.94,1094,Guatemala,818.46
10509,P0020,Producto 21,7,2021-03-09,47.34,1014,Costa Rica,331.38
10806,P0049,Producto 31,6,2021-05-19,47.16,1003,Honduras,282.96
10385,P0012,Producto 24,1,2021-02-25,76.3,1062,Honduras,76.3
10386,P0047,Producto 20,1,2021-06-28,16.29,1039,Nicaragua,16.29
10112,P0001,Producto 37,2,2021-05-29,49.24,1008,Costa Rica,98.48
10612,P0026,Producto 4,6,2021-04-09,43.57,1008,Nicaragua,261.42
10624,P0014,Producto 28,6,2021-03-17,60.09,1025,El Salvador,360.54
10951,P0038,Producto 44,2,2021-01-26,99.96,1003,Guatemala,199.92
10080,P0037,Producto 20,1,2021-04-25,77.18,1080,Nicaragua,77.18
10698,P0011,Producto 24,5,2021-05-27,40.39,1015,Guatemala,201.95
10112,P0036,Producto 49,5,2021-04-19,82.93,1014,Costa Rica,414.65000000000003
10001,P0013,Producto 32,2,2021-02-16,17.9,1098,El Salvador,35.8
10641,P0043,Producto 41,6,2021-03-12,4.02,1051,Costa Rica,24.119999999999997
10219,P0003,Producto 36,9,2021-06-03,21.24,1068,El Salvador,191.16
10565,P0033,Producto 34,2,2021-02-09,34.7,1004,El Salvador,69.4
10854,P0006,Producto 36,2,2021-05-13,51.55,1019,Guatemala,103.1
10996,P0010,Producto 2,3,2021-05-29,61.9,1078,Costa Rica,185.7
10735,P0005,Producto 15,7,2021-05-12,91.15,1017,Costa Rica,638.0500000000001
10224,P0023,Producto 34,6,2021-01-23,51.48,1001,Nicaragua,308.88
10384,P0010,Producto 36,8,2021-04-16,50.63,1092,Costa Rica,405.04
10402,P0044,Producto 6,8,2021-03-25,5.97,1012,Nicaragua,47.76
10637,P0002,Producto 39,6,2021-05-23,4.46,1003,Honduras,26.759999999999998
10129,P0013,Producto 42,3,2021-04-26,55.56,1041,Honduras,166.68
10052,P0040,Producto 12,3,2021-04-19,44.38,1073,Honduras,133.14000000000001
10683,P0002,Producto 3,1,2021-05-16,84.08,1060,Costa Rica,84.08
10729,P0020,Producto 45,7,2021-02-10,16.91,1094,Costa Rica,118.37
10671,P0001,Producto 18,5,2021-04-22,3.47,1007,Nicaragua,17.35
10709,P0037,Producto 40,4,2021-05-27,45.45,1066,El Salvador,181.8
10415,P0009,Producto 21,4,2021-04-22,24.51,1062,Nicaragua,98.04
10246,P0017,Producto 15,4,2021-04-13,5.91,1008,Honduras,23.64
10835,P0009,Producto 33,6,2021-02-15,72.74,1093,Nicaragua,436.43999999999994
10438,P0011,Producto 35,8,2021-06-05,12.05,1010,El Salvador,96.4
10202,P0015,Producto 26,8,2021-03-09,61.22,1098,Costa Rica,489.76
10183,P0024,Producto 8,5,2021-05-02,28.82,1041,Nicaragua,144.1
10122,P0038,Producto 36,6,2021-01-15,18.18,1012,Honduras,109.08
10400,P0035,Producto 48,4,2021-06-14,38.6,1035,Honduras,154.4
10766,P0030,Producto 30,9,2021-05-09,80.34,1012,Costa Rica,723.0600000000001
10293,P0031,Producto 23,8,2021-04-21,39.82,1011,Nicaragua,318.56
10279,P0049,Producto 42,1,2021-01-24,75.33,1036,El Salvador,75.33
10836,P0005,Producto 44,2,2021-01-27,13.42,1073,Costa Rica,26.84
10883,P0044,Producto 14,9,2021-02-09,77.5,1072,Nicaragua,697.5
10609,P0014,Producto 14,8,2021-06-13,24.46,1051,Guatemala,195.68
10197,P0011,Producto 2,3,2021-01-24,68.06,1070,Honduras,204.18
10981,P0009,Producto 37,8,2021-01-24,57.01,1001,El Salvador,456.08
10906,P0034,Producto 5,1,2021-01-04,92.99,1055,El Salvador,92.99
10510,P0012,Producto 38,4,2021-03-08,39.34,1059,El Salvador,157.36
10751,P0035,Producto 45,3,2021-02-03,7.55,1022,Honduras,22.65
10143,P0035,Producto 41,6,2021-06-26,2.9,1039,Nicaragua,17.4
10608,P0001,Producto 47,7,2021-04-26,82.86,1063,Costa Rica,580.02
10200,P0040,Producto 14,4,2021-01-23,52.95,1084,Nicaragua,211.8
10123,P0022,Producto 39,7,2021-04-19,77.75,1022,Costa Rica,544.25
10186,P0029,Producto 25,9,2021-03-10,24.21,1028,El Salvador,217.89000000000001
10325,P0008,Producto 20,2,2021-04-05,35.16,1077,Nicaragua,70.32
10463,P0011,Producto 2,3,2021-03-03,3.98,1089,El Salvador,11.94
10348,P0041,Producto 39,5,2021-06-18,96.19,1050,Guatemala,480.95
10770,P0037,Producto 6,3,2021-02-26,67.12,1068,El Salvador,201.36
10659,P0014,Producto 17,8,2021-02-23,93.39,1094,El Salvador,747.12
10763,P0030,Producto 25,8,2021-03-11,27.28,1088,Costa Rica,218.24
10954,P0035,Producto 28,8,2021-04-11,61.53,1030,Guatemala,492.24
10931,P0021,Producto 2,9,2021-02-26,68.17,1049,El Salvador,613.53
